Nivel_1,t_stamp,nombre_sitio,fecha_hora
2.53504,2025-09-09 07:34:09,tanque_alcaldes,2025-09-09 07:34:09
2.52913,2025-09-09 07:37:09,tanque_alcaldes,2025-09-09 07:37:09
2.52377,2025-09-09 07:40:09,tanque_alcaldes,2025-09-09 07:40:09
2.51598,2025-09-09 07:43:09,tanque_alcaldes,2025-09-09 07:43:09
2.51764,2025-09-09 07:46:09,tanque_alcaldes,2025-09-09 07:46:09
2.51111,2025-09-09 07:49:09,tanque_alcaldes,2025-09-09 07:49:09
2.50699,2025-09-09 07:52:09,tanque_alcaldes,2025-09-09 07:52:09
2.49169,2025-09-09 07:55:09,tanque_alcaldes,2025-09-09 07:55:09
2.47824,2025-09-09 07:58:09,tanque_alcaldes,2025-09-09 07:58:09
0.0,2025-09-09 08:01:09,tanque_alcaldes,2025-09-09 08:01:09
2.47333,2025-09-09 08:04:09,tanque_alcaldes,2025-09-09 08:04:09
2.46105,2025-09-09 08:07:09,tanque_alcaldes,2025-09-09 08:07:09
2.45191,2025-09-09 08:10:09,tanque_alcaldes,2025-09-09 08:10:09
2.45062,2025-09-09 08:13:09,tanque_alcaldes,2025-09-09 08:13:09
2.44586,2025-09-09 08:16:09,tanque_alcaldes,2025-09-09 08:16:09
2.42858,2025-09-09 08:19:09,tanque_alcaldes,2025-09-09 08:19:09
2.42765,2025-09-09 08:22:09,tanque_alcaldes,2025-09-09 08:22:09
2.41786,2025-09-09 08:25:09,tanque_alcaldes,2025-09-09 08:25:09
2.41217,2025-09-09 08:28:09,tanque_alcaldes,2025-09-09 08:28:09
2.40343,2025-09-09 08:31:09,tanque_alcaldes,2025-09-09 08:31:09
2.40079,2025-09-09 08:34:09,tanque_alcaldes,2025-09-09 08:34:09
2.39655,2025-09-09 08:37:09,tanque_alcaldes,2025-09-09 08:37:09
2.38781,2025-09-09 08:40:09,tanque_alcaldes,2025-09-09 08:40:09
0.0,2025-09-09 08:43:09,tanque_alcaldes,2025-09-09 08:43:09
2.37899,2025-09-09 08:46:09,tanque_alcaldes,2025-09-09 08:46:09
2.36002,2025-09-09 08:49:09,tanque_alcaldes,2025-09-09 08:49:09
2.35953,2025-09-09 08:52:09,tanque_alcaldes,2025-09-09 08:52:09
2.35575,2025-09-09 08:55:09,tanque_alcaldes,2025-09-09 08:55:09
2.34718,2025-09-09 08:58:09,tanque_alcaldes,2025-09-09 08:58:09
2.33089,2025-09-09 09:01:09,tanque_alcaldes,2025-09-09 09:01:09
2.3329,2025-09-09 09:04:09,tanque_alcaldes,2025-09-09 09:04:09
2.32518,2025-09-09 09:07:09,tanque_alcaldes,2025-09-09 09:07:09
2.3109,2025-09-09 09:10:09,tanque_alcaldes,2025-09-09 09:10:09
0.0,2025-09-09 09:13:09,tanque_alcaldes,2025-09-09 09:13:09
2.29359,2025-09-09 09:16:09,tanque_alcaldes,2025-09-09 09:16:09
2.29307,2025-09-09 09:19:09,tanque_alcaldes,2025-09-09 09:19:09
2.2854,2025-09-09 09:22:09,tanque_alcaldes,2025-09-09 09:22:09
2.27886,2025-09-09 09:25:09,tanque_alcaldes,2025-09-09 09:25:09
2.27543,2025-09-09 09:28:09,tanque_alcaldes,2025-09-09 09:28:09
2.26296,2025-09-09 09:31:09,tanque_alcaldes,2025-09-09 09:31:09
2.25333,2025-09-09 09:34:09,tanque_alcaldes,2025-09-09 09:34:09
2.25178,2025-09-09 09:37:09,tanque_alcaldes,2025-09-09 09:37:09
2.24326,2025-09-09 09:40:09,tanque_alcaldes,2025-09-09 09:40:09
2.23459,2025-09-09 09:43:09,tanque_alcaldes,2025-09-09 09:43:09
2.22643,2025-09-09 09:46:09,tanque_alcaldes,2025-09-09 09:46:09
2.22078,2025-09-09 09:49:09,tanque_alcaldes,2025-09-09 09:49:09
2.20889,2025-09-09 09:52:09,tanque_alcaldes,2025-09-09 09:52:09
2.19806,2025-09-09 09:55:09,tanque_alcaldes,2025-09-09 09:55:09
2.19358,2025-09-09 09:58:09,tanque_alcaldes,2025-09-09 09:58:09
2.19346,2025-09-09 10:01:09,tanque_alcaldes,2025-09-09 10:01:09
2.1856,2025-09-09 10:04:09,tanque_alcaldes,2025-09-09 10:04:09
2.17489,2025-09-09 10:07:09,tanque_alcaldes,2025-09-09 10:07:09
2.16855,2025-09-09 10:10:10,tanque_alcaldes,2025-09-09 10:10:10
2.1579,2025-09-09 10:13:11,tanque_alcaldes,2025-09-09 10:13:11
2.15581,2025-09-09 10:16:11,tanque_alcaldes,2025-09-09 10:16:11
2.14977,2025-09-09 10:19:11,tanque_alcaldes,2025-09-09 10:19:11
2.13968,2025-09-09 10:22:11,tanque_alcaldes,2025-09-09 10:22:11
2.12894,2025-09-09 10:25:11,tanque_alcaldes,2025-09-09 10:25:11
2.12471,2025-09-09 10:28:11,tanque_alcaldes,2025-09-09 10:28:11
2.12054,2025-09-09 10:31:11,tanque_alcaldes,2025-09-09 10:31:11
2.11311,2025-09-09 10:34:11,tanque_alcaldes,2025-09-09 10:34:11
2.10253,2025-09-09 10:37:11,tanque_alcaldes,2025-09-09 10:37:11
2.09758,2025-09-09 10:40:11,tanque_alcaldes,2025-09-09 10:40:11
2.0863,2025-09-09 10:43:11,tanque_alcaldes,2025-09-09 10:43:11
2.08537,2025-09-09 10:46:11,tanque_alcaldes,2025-09-09 10:46:11
2.07766,2025-09-09 10:49:11,tanque_alcaldes,2025-09-09 10:49:11
2.07015,2025-09-09 10:52:11,tanque_alcaldes,2025-09-09 10:52:11
2.06048,2025-09-09 10:55:11,tanque_alcaldes,2025-09-09 10:55:11
2.05844,2025-09-09 10:58:11,tanque_alcaldes,2025-09-09 10:58:11
2.04666,2025-09-09 11:01:11,tanque_alcaldes,2025-09-09 11:01:11
2.03691,2025-09-09 11:04:11,tanque_alcaldes,2025-09-09 11:04:11
2.02826,2025-09-09 11:07:11,tanque_alcaldes,2025-09-09 11:07:11
2.02162,2025-09-09 11:10:11,tanque_alcaldes,2025-09-09 11:10:11
0.0,2025-09-09 11:13:11,tanque_alcaldes,2025-09-09 11:13:11
2.00994,2025-09-09 11:16:11,tanque_alcaldes,2025-09-09 11:16:11
2.00455,2025-09-09 11:19:11,tanque_alcaldes,2025-09-09 11:19:11
1.99622,2025-09-09 11:22:11,tanque_alcaldes,2025-09-09 11:22:11
1.9869,2025-09-09 11:25:11,tanque_alcaldes,2025-09-09 11:25:11
1.97735,2025-09-09 11:28:11,tanque_alcaldes,2025-09-09 11:28:11
1.96959,2025-09-09 11:31:11,tanque_alcaldes,2025-09-09 11:31:11
1.96002,2025-09-09 11:34:11,tanque_alcaldes,2025-09-09 11:34:11
1.95469,2025-09-09 11:37:11,tanque_alcaldes,2025-09-09 11:37:11
1.94794,2025-09-09 11:40:11,tanque_alcaldes,2025-09-09 11:40:11
1.94083,2025-09-09 11:43:11,tanque_alcaldes,2025-09-09 11:43:11
1.93155,2025-09-09 11:46:11,tanque_alcaldes,2025-09-09 11:46:11
1.92557,2025-09-09 11:49:11,tanque_alcaldes,2025-09-09 11:49:11
1.91673,2025-09-09 11:52:11,tanque_alcaldes,2025-09-09 11:52:11
1.90945,2025-09-09 11:55:11,tanque_alcaldes,2025-09-09 11:55:11
1.90357,2025-09-09 11:58:11,tanque_alcaldes,2025-09-09 11:58:11
1.89536,2025-09-09 12:01:11,tanque_alcaldes,2025-09-09 12:01:11
1.89501,2025-09-09 12:04:11,tanque_alcaldes,2025-09-09 12:04:11
1.8784,2025-09-09 12:07:11,tanque_alcaldes,2025-09-09 12:07:11
1.86649,2025-09-09 12:10:11,tanque_alcaldes,2025-09-09 12:10:11
1.86946,2025-09-09 12:13:11,tanque_alcaldes,2025-09-09 12:13:11
1.85582,2025-09-09 12:16:11,tanque_alcaldes,2025-09-09 12:16:11
1.85663,2025-09-09 12:19:11,tanque_alcaldes,2025-09-09 12:19:11
1.84512,2025-09-09 12:22:11,tanque_alcaldes,2025-09-09 12:22:11
1.83721,2025-09-09 12:25:11,tanque_alcaldes,2025-09-09 12:25:11
1.83234,2025-09-09 12:28:11,tanque_alcaldes,2025-09-09 12:28:11
1.82307,2025-09-09 12:31:11,tanque_alcaldes,2025-09-09 12:31:11
1.81799,2025-09-09 12:34:11,tanque_alcaldes,2025-09-09 12:34:11
1.8042,2025-09-09 12:37:11,tanque_alcaldes,2025-09-09 12:37:11
1.7996,2025-09-09 12:40:11,tanque_alcaldes,2025-09-09 12:40:11
1.79265,2025-09-09 12:43:11,tanque_alcaldes,2025-09-09 12:43:11
1.78603,2025-09-09 12:46:11,tanque_alcaldes,2025-09-09 12:46:11
1.78176,2025-09-09 12:49:11,tanque_alcaldes,2025-09-09 12:49:11
1.76638,2025-09-09 12:52:11,tanque_alcaldes,2025-09-09 12:52:11
1.76473,2025-09-09 12:55:11,tanque_alcaldes,2025-09-09 12:55:11
0.0,2025-09-09 12:58:11,tanque_alcaldes,2025-09-09 12:58:11
1.74742,2025-09-09 13:01:11,tanque_alcaldes,2025-09-09 13:01:11
1.73895,2025-09-09 13:04:11,tanque_alcaldes,2025-09-09 13:04:11
1.73624,2025-09-09 13:07:11,tanque_alcaldes,2025-09-09 13:07:11
1.72707,2025-09-09 13:10:11,tanque_alcaldes,2025-09-09 13:10:11
1.72224,2025-09-09 13:13:11,tanque_alcaldes,2025-09-09 13:13:11
1.70552,2025-09-09 13:16:11,tanque_alcaldes,2025-09-09 13:16:11
1.70463,2025-09-09 13:19:11,tanque_alcaldes,2025-09-09 13:19:11
1.69501,2025-09-09 13:22:11,tanque_alcaldes,2025-09-09 13:22:11
1.68558,2025-09-09 13:25:11,tanque_alcaldes,2025-09-09 13:25:11
1.67999,2025-09-09 13:28:11,tanque_alcaldes,2025-09-09 13:28:11
1.6777,2025-09-09 13:31:11,tanque_alcaldes,2025-09-09 13:31:11
1.66747,2025-09-09 13:34:11,tanque_alcaldes,2025-09-09 13:34:11
1.65996,2025-09-09 13:37:11,tanque_alcaldes,2025-09-09 13:37:11
1.65252,2025-09-09 13:40:11,tanque_alcaldes,2025-09-09 13:40:11
