Nivel_1,t_stamp,nombre_sitio,fecha_hora
3.4,2025-08-07 12:49:17,tanque_alcaldes,2025-08-07 12:49:17
3.4,2025-08-07 12:52:17,tanque_alcaldes,2025-08-07 12:52:17
3.4,2025-08-07 12:55:17,tanque_alcaldes,2025-08-07 12:55:17
3.4,2025-08-07 12:58:17,tanque_alcaldes,2025-08-07 12:58:17
3.4,2025-08-07 13:01:17,tanque_alcaldes,2025-08-07 13:01:17
3.4,2025-08-07 13:04:17,tanque_alcaldes,2025-08-07 13:04:17
3.4,2025-08-07 13:07:17,tanque_alcaldes,2025-08-07 13:07:17
3.4,2025-08-07 13:10:17,tanque_alcaldes,2025-08-07 13:10:17
3.4,2025-08-07 13:13:17,tanque_alcaldes,2025-08-07 13:13:17
3.4,2025-08-07 13:16:17,tanque_alcaldes,2025-08-07 13:16:17
3.4,2025-08-07 13:19:17,tanque_alcaldes,2025-08-07 13:19:17
3.4,2025-08-07 13:22:17,tanque_alcaldes,2025-08-07 13:22:17
3.4,2025-08-07 13:25:17,tanque_alcaldes,2025-08-07 13:25:17
3.4,2025-08-07 13:28:17,tanque_alcaldes,2025-08-07 13:28:17
3.4,2025-08-07 13:31:17,tanque_alcaldes,2025-08-07 13:31:17
3.4,2025-08-07 13:34:17,tanque_alcaldes,2025-08-07 13:34:17
3.4,2025-08-07 13:37:17,tanque_alcaldes,2025-08-07 13:37:17
3.4,2025-08-07 13:40:17,tanque_alcaldes,2025-08-07 13:40:17
3.4,2025-08-07 13:43:17,tanque_alcaldes,2025-08-07 13:43:17
3.4,2025-08-07 13:46:17,tanque_alcaldes,2025-08-07 13:46:17
3.4,2025-08-07 13:49:17,tanque_alcaldes,2025-08-07 13:49:17
3.4,2025-08-07 13:52:17,tanque_alcaldes,2025-08-07 13:52:17
3.4,2025-08-07 13:55:17,tanque_alcaldes,2025-08-07 13:55:17
3.4,2025-08-07 13:58:17,tanque_alcaldes,2025-08-07 13:58:17
3.4,2025-08-07 14:01:17,tanque_alcaldes,2025-08-07 14:01:17
3.4,2025-08-07 14:04:17,tanque_alcaldes,2025-08-07 14:04:17
3.4,2025-08-07 14:07:17,tanque_alcaldes,2025-08-07 14:07:17
3.4,2025-08-07 14:10:17,tanque_alcaldes,2025-08-07 14:10:17
3.4,2025-08-07 14:13:17,tanque_alcaldes,2025-08-07 14:13:17
3.4,2025-08-07 14:16:17,tanque_alcaldes,2025-08-07 14:16:17
3.4,2025-08-07 14:19:17,tanque_alcaldes,2025-08-07 14:19:17
3.4,2025-08-07 14:22:17,tanque_alcaldes,2025-08-07 14:22:17
3.4,2025-08-07 14:25:17,tanque_alcaldes,2025-08-07 14:25:17
3.4,2025-08-07 14:28:17,tanque_alcaldes,2025-08-07 14:28:17
3.4,2025-08-07 14:31:17,tanque_alcaldes,2025-08-07 14:31:17
3.4,2025-08-07 14:34:17,tanque_alcaldes,2025-08-07 14:34:17
3.4,2025-08-07 14:37:17,tanque_alcaldes,2025-08-07 14:37:17
3.4,2025-08-07 14:40:17,tanque_alcaldes,2025-08-07 14:40:17
3.4,2025-08-07 14:43:17,tanque_alcaldes,2025-08-07 14:43:17
3.4,2025-08-07 14:46:17,tanque_alcaldes,2025-08-07 14:46:17
3.4,2025-08-07 14:49:17,tanque_alcaldes,2025-08-07 14:49:17
3.4,2025-08-07 14:52:17,tanque_alcaldes,2025-08-07 14:52:17
3.4,2025-08-07 14:55:17,tanque_alcaldes,2025-08-07 14:55:17
3.4,2025-08-07 14:58:17,tanque_alcaldes,2025-08-07 14:58:17
3.4,2025-08-07 15:01:17,tanque_alcaldes,2025-08-07 15:01:17
3.4,2025-08-07 15:04:17,tanque_alcaldes,2025-08-07 15:04:17
3.4,2025-08-07 15:07:17,tanque_alcaldes,2025-08-07 15:07:17
3.4,2025-08-07 15:10:17,tanque_alcaldes,2025-08-07 15:10:17
3.4,2025-08-07 15:13:17,tanque_alcaldes,2025-08-07 15:13:17
3.4,2025-08-07 15:16:17,tanque_alcaldes,2025-08-07 15:16:17
3.4,2025-08-07 15:19:17,tanque_alcaldes,2025-08-07 15:19:17
3.4,2025-08-07 15:22:17,tanque_alcaldes,2025-08-07 15:22:17
3.4,2025-08-07 15:25:17,tanque_alcaldes,2025-08-07 15:25:17
3.4,2025-08-07 15:28:17,tanque_alcaldes,2025-08-07 15:28:17
3.4,2025-08-07 15:31:17,tanque_alcaldes,2025-08-07 15:31:17
3.4,2025-08-07 15:34:17,tanque_alcaldes,2025-08-07 15:34:17
3.4,2025-08-07 15:37:17,tanque_alcaldes,2025-08-07 15:37:17
3.4,2025-08-07 15:40:17,tanque_alcaldes,2025-08-07 15:40:17
3.4,2025-08-07 15:43:17,tanque_alcaldes,2025-08-07 15:43:17
3.4,2025-08-07 15:46:17,tanque_alcaldes,2025-08-07 15:46:17
3.4,2025-08-07 15:49:17,tanque_alcaldes,2025-08-07 15:49:17
3.4,2025-08-07 15:52:17,tanque_alcaldes,2025-08-07 15:52:17
3.4,2025-08-07 15:55:17,tanque_alcaldes,2025-08-07 15:55:17
3.4,2025-08-07 15:58:17,tanque_alcaldes,2025-08-07 15:58:17
3.4,2025-08-07 16:01:17,tanque_alcaldes,2025-08-07 16:01:17
3.4,2025-08-07 16:04:17,tanque_alcaldes,2025-08-07 16:04:17
3.4,2025-08-07 16:07:17,tanque_alcaldes,2025-08-07 16:07:17
3.4,2025-08-07 16:10:17,tanque_alcaldes,2025-08-07 16:10:17
3.4,2025-08-07 16:13:17,tanque_alcaldes,2025-08-07 16:13:17
3.4,2025-08-07 16:16:17,tanque_alcaldes,2025-08-07 16:16:17
3.4,2025-08-07 16:19:17,tanque_alcaldes,2025-08-07 16:19:17
3.4,2025-08-07 16:22:17,tanque_alcaldes,2025-08-07 16:22:17
3.4,2025-08-07 16:25:17,tanque_alcaldes,2025-08-07 16:25:17
3.4,2025-08-07 16:28:17,tanque_alcaldes,2025-08-07 16:28:17
3.4,2025-08-07 16:31:17,tanque_alcaldes,2025-08-07 16:31:17
3.4,2025-08-07 16:34:17,tanque_alcaldes,2025-08-07 16:34:17
3.4,2025-08-07 16:37:17,tanque_alcaldes,2025-08-07 16:37:17
3.4,2025-08-07 16:40:17,tanque_alcaldes,2025-08-07 16:40:17
3.4,2025-08-07 16:43:17,tanque_alcaldes,2025-08-07 16:43:17
3.4,2025-08-07 16:46:17,tanque_alcaldes,2025-08-07 16:46:17
3.4,2025-08-07 16:49:17,tanque_alcaldes,2025-08-07 16:49:17
3.4,2025-08-07 16:52:17,tanque_alcaldes,2025-08-07 16:52:17
3.4,2025-08-07 16:55:17,tanque_alcaldes,2025-08-07 16:55:17
3.4,2025-08-07 16:58:17,tanque_alcaldes,2025-08-07 16:58:17
3.4,2025-08-07 17:01:17,tanque_alcaldes,2025-08-07 17:01:17
3.4,2025-08-07 17:04:17,tanque_alcaldes,2025-08-07 17:04:17
3.4,2025-08-07 17:07:17,tanque_alcaldes,2025-08-07 17:07:17
